ID,Model,Year,Engine_Volume,Engine_Type,Horse_Power,Gearbox,Transmitter,Mileage,Price
1,Nissan Kicks,2021,1.6,Benzin,136.0,Variator,Ön,57000,29 900 AZN
2,Lynk & Co 01,2024,1.5,Plug-in Hibrid,262.0,Avtomat,Ön,0,34 900 USD
3,FAW Tiger VN,2023,2.3,Dizel,118.0,Mexaniki,Arxa,0,35 500 AZN
4,VGV U75 Plus,2024,2.0,Benzin,224.0,Avtomat,Ön,0,39 800 AZN
5,Changan Qiyuan A06,2024,1.5,Plug-in Hibrid,335.0,Avtomat,Ön,0,20 950 USD
6,BMW 528,2016,2.0,Benzin,245.0,Avtomat,Arxa,121000,24 900 USD
7,Audi A7,2018,3.0,Benzin,338.0,Robot,Tam,79000,55 500 USD
8,Kia Sorento,2011,2.0,Dizel,184.0,Avtomat,Ön,206000,27 500 AZN
9,Honda Accord,2023,2.0,Hibrid,212.0,Avtomat,Ön,23335,28 500 USD
10,Kia Stinger,2017,2.0,Benzin,247.0,Avtomat,Arxa,104607,33 000 AZN
11,Daewoo Nexia,2009,1.5,Benzin,80.0,Mexaniki,Ön,580000,4 300 AZN
12,Hyundai Tucson,2007,2.0,Dizel,140.0,Avtomat,Ön,269500,17 300 AZN
13,Kia Sorento,2014,2.2,Dizel,200.0,Avtomat,Ön,196000,39 600 AZN
14,Kia Carnival,2018,2.2,Dizel,202.0,Avtomat,Ön,143000,65 000 AZN
15,Volkswagen Tiguan,2014,2.0,Dizel,140.0,Avtomat,Ön,117000,24 000 AZN
16,LADA (VAZ) 2106,1986,1.5,Benzin,65.0,Mexaniki,Arxa,99000,2 700 AZN
17,Mercedes C 200,1998,2.0,Benzin,136.0,Avtomat,Arxa,298000,14 500 AZN
18,Volkswagen Golf,1988,1.6,Benzin,75.0,Mexaniki,Ön,546320,2 700 AZN
19,Mercedes E 220 d,2003,2.2,Dizel,150.0,Avtomat,Arxa,320000,17 500 AZN
20,Toyota Land Cruiser,2021,3.5,Benzin,415.0,Avtomat,Tam,3909,99 000 USD
21,Land Rover Discovery,2010,3.0,Dizel,249.0,Avtomat,Tam,350000,38 500 AZN
22,ZEEKR 001,2023,,Elektro,544.0,Reduktor,Tam,0,59 900 USD
23,Ford Fusion (North America),2018,1.5,Benzin,184.0,Avtomat,Ön,205996,20 300 AZN
24,Chevrolet Equinox,2022,1.5,Benzin,170.0,Avtomat,Ön,13000,42 900 AZN
25,Toyota Land Cruiser,2012,4.5,Dizel,235.0,Avtomat,Tam,256000,44 900 USD
26,Mercedes C 200,2002,2.0,Benzin,163.0,Avtomat,Arxa,100000,11 500 AZN
27,Kia Stinger,2021,2.0,Benzin,247.0,Avtomat,Arxa,31000,26 900 USD
28,Toyota Land Cruiser,2012,4.0,Benzin,282.0,Avtomat,Tam,149000,36 900 USD
29,Honda Civic,2017,1.5,Benzin,182.0,Variator,Ön,89000,15 800 USD
30,Audi RS7,2013,4.0,Benzin,560.0,Avtomat,Tam,88888,40 900 USD
31,Hyundai Elantra,2017,1.6,Benzin,132.0,Avtomat,Ön,117000,27 700 AZN
32,Saipa 132,2014,1.3,Benzin,69.0,Mexaniki,Ön,265500,6 950 AZN
33,Tesla Model 3,2022,,Elektro,351.0,Reduktor,Ön,25000,34 800 USD
34,BMW 520,2018,2.0,Dizel,190.0,Avtomat,Arxa,128000,36 700 USD
35,Land Rover Range Rover,2019,3.0,Benzin,400.0,Avtomat,Tam,23000,99 000 USD
36,BMW X5 M,2015,4.4,Benzin,575.0,Robot,Tam,70000,51 500 USD
37,Yamaha R15 V4,2024,0.2,Benzin,18.0,Mexaniki,Arxa,0,6 999 AZN
38,Skoda Kamiq,2023,1.6,Benzin,110.0,Avtomat,Ön,0,42 900 AZN
39,Li Auto L9,2023,1.5,Plug-in Hibrid,450.0,Avtomat,Tam,0,67 500 USD
40,LADA (VAZ) Niva,2024,1.7,Benzin,83.0,Mexaniki,Tam,0,20 500 AZN
41,Hyundai Grandeur,2016,2.2,Dizel,202.0,Avtomat,Ön,158010,33 800 AZN
42,Kia Rio,2009,1.4,Benzin,97.0,Mexaniki,Ön,204300,12 500 AZN
43,Toyota Prius,2013,1.8,Hibrid,99.0,Variator,Ön,418660,20 500 AZN
44,LADA (VAZ) 2107,2011,1.6,Benzin,75.0,Mexaniki,Arxa,99000,8 500 AZN
45,GAZ 330232-744,2019,2.4,Benzin,100.0,Mexaniki,Arxa,75000,28 500 AZN
46,Hyundai Accent,2020,1.6,Benzin,140.0,Avtomat,Ön,77000,25 900 AZN
47,Toyota Land Cruiser,2007,4.5,Benzin,212.0,Avtomat,Tam,174000,22 900 AZN
48,Kia Optima,2014,2.0,Benzin,274.0,Avtomat,Ön,210000,21 111 AZN
49,Hyundai Elantra,2017,1.6,Benzin,132.0,Avtomat,Ön,117000,27 700 AZN
50,Saipa 132,2014,1.3,Benzin,69.0,Mexaniki,Ön,265500,6 950 AZN
51,Tesla Model 3,2022,,Elektro,351.0,Reduktor,Ön,25000,34 800 USD
52,BMW 520,2018,2.0,Dizel,190.0,Avtomat,Arxa,128000,36 700 USD
53,Land Rover Range Rover,2019,3.0,Benzin,400.0,Avtomat,Tam,23000,99 000 USD
54,BMW X5 M,2015,4.4,Benzin,575.0,Robot,Tam,70000,51 500 USD
55,Hyundai Elantra,2012,1.8,Benzin,150.0,Avtomat,Ön,167425,21 000 AZN
56,Land Rover Range Rover,2015,5.0,Benzin,510.0,Avtomat,Tam,117000,84 500 USD
57,Mercedes E 220 d,2015,2.2,Dizel,170.0,Avtomat,Arxa,189000,26 900 USD
58,Kia K7,2020,2.2,Dizel,202.0,Avtomat,Ön,99500,35 800 USD
59,Toyota Land Cruiser Prado,2012,2.7,Benzin,163.0,Avtomat,Tam,163000,24 900 USD
60,Kia Sportage,2014,2.0,Dizel,184.0,Avtomat,Ön,139000,28 500 AZN
61,Hyundai Accent,2017,1.6,Benzin,140.0,Avtomat,Ön,123919,18 200 AZN
62,Land Rover Discovery,2015,3.0,Dizel,340.0,Avtomat,Tam,149000,33 900 USD
63,Haval H6,2020,2.0,Benzin,224.0,Avtomat,Ön,91000,39 920 AZN
64,MG RX8,2021,2.0,Benzin,220.0,Avtomat,Tam,41140,51 500 AZN
65,Land Rover Discovery,2018,2.0,Dizel,240.0,Avtomat,Tam,69000,47 900 USD
66,Land Rover Range Rover,2016,3.0,Benzin,340.0,Avtomat,Tam,120000,59 900 USD
67,Kia K3,2015,1.6,Benzin,130.0,Avtomat,Ön,116000,23 800 AZN
68,Audi A6,2017,2.0,Benzin,252.0,Avtomat,Ön,102066,24 300 USD
69,Land Rover Range Rover,2007,4.2,Benzin,396.0,Avtomat,Tam,175000,20 900 USD
70,Toyota FJ Cruiser,2013,4.0,Benzin,260.0,Avtomat,Tam,120000,35 000 USD
71,Toyota Highlander,2023,2.5,Hibrid,249.0,Avtomat,Tam,0,59 500 USD
72,Toyota Land Cruiser Prado,2006,4.0,Benzin,249.0,Avtomat,Tam,287000,31 500 AZN
73,Chery Tiggo 7 Pro e+,2023,1.5,Plug-in Hibrid,326.0,Avtomat,Ön,0,49 900 AZN
74,Mercedes C 180,1999,1.8,Benzin,122.0,Avtomat,Arxa,321456,11 900 AZN
75,Kia Sorento,2014,2.0,Dizel,184.0,Avtomat,Ön,176000,32 900 AZN
76,Lexus ES 300h,2023,2.5,Hibrid,218.0,Avtomat,Ön,0,49 700 USD
77,Toyota Camry,2011,2.4,Benzin,167.0,Avtomat,Ön,196000,21 500 AZN
78,DongFeng Aeolus Huge,2023,1.5,Hibrid,245.0,Avtomat,Ön,0,43 900 AZN
79,BMW 330,2017,2.0,Benzin,249.0,Avtomat,Arxa,98200,22 000 USD
80,Hyundai Elantra,2011,1.8,Benzin,150.0,Avtomat,Ön,133000,19 500 AZN
81,Kia Cerato,2015,1.8,Benzin,149.0,Avtomat,Ön,117000,21 200 AZN
82,LADA (VAZ) 2107,2011,1.6,Benzin,75.0,Mexaniki,Arxa,75000,7 300 AZN
83,Skoda Rapid,2020,1.6,Benzin,140.0,Avtomat,Ön,18125,27 000 AZN
84,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Ön,207000,37 000 AZN
85,Kia K3,2015,1.6,Benzin,130.0,Avtomat,Ön,116000,23 800 AZN
86,Audi A6,2017,2.0,Benzin,252.0,Avtomat,Ön,102066,24 300 USD
87,Land Rover Range Rover,2007,4.2,Benzin,396.0,Avtomat,Tam,175000,20 900 USD
88,Toyota FJ Cruiser,2013,4.0,Benzin,260.0,Avtomat,Tam,120000,35 000 USD
89,Toyota Highlander,2023,2.5,Hibrid,249.0,Avtomat,Tam,0,59 500 USD
90,Toyota Land Cruiser Prado,2006,4.0,Benzin,249.0,Avtomat,Tam,287000,31 500 AZN
91,Land Rover Range Rover,2012,5.0,Benzin,510.0,Avtomat,Tam,200000,29 000 USD
92,LADA (VAZ) 2107,2007,1.6,Benzin,75.0,Mexaniki,Arxa,99000,6 400 AZN
93,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Ön,271500,36 000 AZN
94,Kia K5,2022,2.0,Benzin,150.0,Avtomat,Ön,4100,54 900 AZN
95,Hyundai Getz,2008,1.6,Benzin,106.0,Avtomat,Ön,275200,11 300 AZN
96,Toyota Corolla,2014,1.6,Benzin,124.0,Avtomat,Ön,219000,23 900 AZN
97,Daewoo Gentra,2014,1.5,Benzin,107.0,Avtomat,Ön,233320,11 900 AZN
98,BMW 420,2014,2.0,Dizel,245.0,Avtomat,Arxa,103000,29 000 USD
99,Toyota Prius,2007,1.5,Hibrid,76.0,Variator,Ön,233000,8 300 AZN
100,Kia Sorento,2011,2.0,Dizel,184.0,Avtomat,Tam,280000,25 900 AZN
101,KamAz 53212,2007,11.0,Dizel,195.0,Mexaniki,Tam,125000,48 000 AZN
102,Kia Sorento,2016,2.0,Dizel,186.0,Avtomat,Ön,148300,41 500 AZN
103,Mercedes E 220 d,2021,2.0,Dizel,194.0,Avtomat,Arxa,60000,53 000 USD
104,Land Rover Range Rover,2011,5.0,Benzin,510.0,Avtomat,Tam,168000,24 900 USD
105,Jeep Wrangler,2019,2.0,Benzin,272.0,Avtomat,Tam,30000,52 500 USD
106,BMW 120,2008,2.0,Dizel,177.0,Mexaniki,Arxa,260000,19 000 AZN
107,Mercedes GLS 450 4MATIC,2016,3.0,Benzin,333.0,Avtomat,Tam,73000,47 500 USD
108,Mitsubishi Pajero,2008,3.0,Benzin,188.0,Avtomat,Tam,179000,24 500 AZN
109,GWM Poer,2023,2.0,Dizel,164.0,Avtomat,Tam,0,53 900 AZN
110,Mercedes E 300 e 4MATIC,2023,2.0,Plug-in Hibrid,320.0,Avtomat,Tam,0,95 500 USD
111,GAZ 12 ЗИМ,1954,3.5,Benzin,90.0,Mexaniki,Arxa,5465,75 000 AZN
112,Mercedes CLA 250,2019,2.0,Benzin,211.0,Avtomat,Ön,40000,45 500 USD
113,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Tam,180000,39 000 AZN
114,Hyundai Genesis,2015,3.0,Benzin,249.0,Avtomat,Arxa,144000,43 000 AZN
115,Honda Insight,2010,1.3,Hibrid,88.0,Variator,Ön,214800,13 950 AZN
